date,snowfall_mm,rain_mm,melt_mm,runoff_mm,swe_mm,snow_cover_fraction
2025-06-01,11.968,0.032,0.223,0.255,11.745,0.9787
2025-06-02,8.000,0.000,0.000,0.000,19.745,1.0000
2025-06-03,0.000,0.000,0.757,0.757,18.987,0.9787
2025-06-04,15.000,0.000,0.000,0.000,33.987,1.0000
2025-06-05,10.000,0.000,0.000,0.000,43.987,1.0000
2025-06-06,4.625,0.375,2.275,2.650,46.338,1.0000
2025-06-07,4.752,1.248,4.386,5.634,46.704,0.9362
2025-06-08,9.000,0.000,0.000,0.000,55.704,1.0000
2025-06-09,14.000,0.000,0.000,0.000,69.704,1.0000
2025-06-10,0.000,0.000,0.567,0.567,69.136,1.0000
2025-06-11,3.821,0.179,1.206,1.385,71.752,0.9574
2025-06-12,5.161,1.839,5.170,7.010,71.742,0.9149
2025-06-13,1.645,1.355,8.145,9.500,65.242,0.8723
2025-06-14,0.000,0.000,11.357,11.357,53.886,0.8085
2025-06-15,0.000,0.000,15.451,15.451,38.435,0.6809
2025-06-16,0.051,1.949,15.446,17.396,23.039,0.5319
2025-06-17,0.000,0.000,13.107,13.107,9.932,0.3617
2025-06-18,0.000,0.000,7.741,7.741,2.192,0.1489
2025-06-19,0.053,4.947,1.636,6.583,0.609,0.0638
2025-06-20,0.000,0.000,0.609,0.609,0.000,0.0000
2025-06-21,0.000,0.000,0.000,0.000,0.000,0.0000
2025-06-22,0.000,0.000,0.000,0.000,0.000,0.0000
2025-06-23,0.000,1.000,0.000,1.000,0.000,0.0000
2025-06-24,0.000,0.000,0.000,0.000,0.000,0.0000
